一併打破,1
一併移轉,1
一併通過,1
一個機會,1
一償宿願,1
一再出現,1
一分打點,1
一同競爭,1
一吐為快,1
一向,1
一向認為,1
一壘安打,1
一大勝利,1
一大指標,1
一大步,1
一大突破,1
一夫當關,1
一如,1
一如以往,1
一如往昔,1
一如預期,1
一字不差,1
一定,1
一定參加,1
一定可以,1
一定得,1
一定是,1
一定時間,1
一定會,1
一定會是,1
一定程度,1
一定能,1
一定要,1
一定要像,1
一己之力,1
一帆風順,1
一席之地,1
一往情深,1
一律,1
一律列入,1
一心想,1
一意,1
一日千里,1
一杆進洞,1
一枝獨秀,1
一樣容易,1
一樣有效,1
一流,1
一炮而紅,1
一爭高下,1
一盤未失,1
一直,1
一直堅持,1
一直是,1
一秉,1
一窩蜂,1
一笑置之,1
一級棒,1
一統,1
一統江山,1
一線曙光,1
一線生機,1
一臂之力,1
一致,1
一致公認,1
一致同意,1
一致宣佈,1
一致建議,1
一致性,1
一致支持,1
一致決,1
一致決議,1
一致看好,1
一致通過,1
一舉成名,1
一舉擊敗,1
一舉解決,1
一見鍾情,1
一貫,1
一路平安,1
一路攀升,1
一路穩健,1
一路緊咬,1
一路趕上,1
一路過關斬將,1
一路長紅,1
一路順風,1
一路領先,1
一蹴可幾,1
一躍上前,1
一道大菜,1
一開始,1
一雪前恥,1
一鳴驚人,1
三分全壘打,1
三分彈,1
三分打點,1
三壘打,1
三大要項,1
三度塞揚獎,1
三強林立,1
三思而後行,1
三贏,1
三足鼎立,1
三連霸,1
三響炮,1
上上之策,1
上來,1
上場一搏,1
上天之選,1
上好,1
上市發行,1
上揚,1
上榜,1
上漲,1
上等,1
上路,1
上進,1
上陣,1
上風,1
下功夫,1
下定決心,1
下放,1
不乏,1
不二法門,1
不亞於,1
不亦樂乎,1
不令人意外,1
不任性,1
不偏不倚,1
不偏不倚地,1
不凡,1
不凡的人,1
不動搖,1
不反,1
不反對,1
不受影響,1
不受約束,1
不受限制,1
不可不知,1
不可侵犯,1
不可名狀,1
不可或缺,1
不可抵擋,1
不可阻撓,1
不可限量,1
不吃虧,1
不同凡響,1
不吝採納,1
不否認,1
不含糊,1
不外,1
不外乎,1
不失,1
不如坦誠面對,1
不妨,1
不容忽視,1
不容抹殺,1
不容推諉,1
不容損耗,1
不少進帳,1
不就好了,1
不就得了,1
不屈不撓,1
不屈服,1
不復舊觀,1
不必擔心,1
不忍,1
不怕,1
不悔,1
不惜,1
不惡,1
不意外,1
不愧,1
不愧為,1
不慌忙,1
不懈,1
不成問題,1
不成為問題,1
不抵觸,1
不拘泥,1
不推諉,1
不放過,1
不斷努力,1
不斷提高,1
不斷擴散,1
不斷遞增,1
不斷重複,1
不斷鼓吹,1
不是軟腳蝦,1
不曾失手,1
不會傷害,1
不會受傷害,1
不會威脅,1
不會弄錯,1
不會影響,1
不朽英名,1
不止於,1
不正是,1
不死,1
不爭,1
不爭的事實,1
不猶豫,1
不禁,1
不禁想起,1
不禁止,1
不禁高昂,1
不移,1
不老,1
不能不,1
不能不知道,1
不能不解決,1
不自私,1
不虞,1
不衰,1
不言可喻,1
不訝異,1
不設限,1
不調降,1
不諱言,1
不負,1
不費吹灰之力,1
不起訴,1
不超過,1
不輸,1
不輸於,1
不迫,1
不違,1
不違法,1
不違背,1
不遺餘力,1
不錯,1
不陌生,1
不限,1
不隱瞞,1
不難,1
不難理解,1
丕變,1
世所矚目,1
世界冠軍,1
世界排名第一球員,1
世界排名這麼高,1
世界排名這麼高的選手,1
世界球王,1
世界第一,1
並不對峙,1
並列,1
並列第一,1
並列雙雄,1
並列領先,1
並居,1
並應,1
並沒有錯,1
並無不便,1
並無不妥,1
並無差異,1
並無異常,1
並肩,1
並肩作戰,1
並肩殺進,1
並肩競技,1
並行,1
並要,1
並購整合,1
並進,1
並顧,1
並駕齊驅,1
並驅,1
中和,1
中心支柱,1
中方有充分證據,1
中肯,1
丰姿,1
丰采,1
丰采依舊,1
串連,1
主動,1
主動出擊,1
主動協助,1
主動協調,1
主動回收,1
主動幫忙,1
主動建立,1
主動提供,1
主動連系,1
主場優勢,1
主宰,1
主宰力,1
主導優勢,1
主導地位,1
主張,1
主持,1
主持協商,1
主控,1
主控權,1
主要,1
主要功臣,1
主要尋求,1
主要意義,1
主要是,1
主要的辯,1
主要考驗,1
主角,1
之上,1
之賜,1
之首,1
乘勝追擊,1
九五之尊,1
九霄雲外,1
也可,1
也可以,1
也同意,1
也很不錯,1
也想,1
也應,1
也是,1
也會,1
也有,1
也有同感,1
也期盼,1
也能,1
也許,1
乾淨,1
乾脆,1
亂中有序,1
了不起,1
了然於心,1
了然於胸,1
予以,1
予以保護,1
予以支持,1
予以補助,1
予以規範,1
予以配合,1
予保護,1
事在人為,1
事實,1
事實上,1
事實證明,1
事成,1
事蹟,1
互不侵犯,1
互保,1
互信,1
互別苗頭,1
互利,1
互助,1
互助合作,1
互動,1
互動頻繁,1
互惠,1
互惠互助,1
互敬,1
互有領先,1
互為刺激,1
互相合作,1
互相妥協,1
互相安慰,1
互相密合著,1
互相結合,1
互相連系,1
互蒙其利,1
互補,1
互訪,1
互設,1
互讓,1
井然有序,1
亟力,1
亟力開拓,1
亟宜,1
亟待,1
亟待厘清,1
亟思,1
亟欲,1
亟需,1
亟須,1
交代清楚,1
交出,1
交往,1
交心,1
交流,1
交流合作,1
交流熱絡,1
亦可,1
亦可以,1
亦在其中,1
亦應,1
亦是,1
亦是如此,1
亦步亦趨,1
亦為,1
享受,1
享受到,1
享有,1
享用,1
享譽,1
亭亭,1
亮相機會,1
亮麗,1
人味,1
人山人海,1
人心所向,1
人必自重而後人重之,1
人性,1
人情味,1
人數眾多,1
人格高尚,1
人機璧還,1
人氣,1
人氣天王,1
人氣巨星,1
人氣王,1
人氣高,1
人氣鼎沸,1
人生至樂,1
人盡皆知,1
人逢喜事精神爽,1
人道精神,1
人道關懷,1
仁善,1
仁慈,1
今起展開,1
介紹,1
仍作,1
仍佳,1
仍依,1
仍依賴,1
仍可,1
仍可以,1
仍在調查,1
仍將,1
仍將是,1
仍希望,1
仍待,1
仍得,1
仍得辦,1
仍應,1
仍應保留,1
仍持,1
仍持續,1
仍是,1
仍會,1
仍會維持,1
仍有,1
仍有可能,1
仍有希望,1
仍有意,1
仍有成長,1
仍未改變,1
仍為可行,1
仍然,1
仍然存在,1
仍獲,1
仍獲好評,1
仍獲青睞,1
仍由,1
仍能,1
仍被看好,1
仍進行,1
仍適用,1
仍采,1
仍需,1
仍須,1
仔細,1
仔細看清,1
付託,1
付諸實施,1
付諸實現,1
付諸實踐,1
仙丹,1
仙姿,1
代替,1
代表人物,1
代表作,1
代言人,1
令人佩服,1
令人咋舌,1
令人喜悅,1
